date,datetime,cash_type,card,money,coffee_name,Customer_ID,Store_Location,Customer_Age,Customer_Gender,Loyalty_Program,Discount
2024-03-01,2024-03-01 10:15:50.520,card,ANON-0000-0000-0001,8.74,Latte,CUST-0001,New York,49,Male,True,1.63
2024-03-01,2024-03-01 12:19:22.539,card,ANON-0000-0000-0002,7.05,Hot Chocolate,CUST-0002,Chicago,34,Male,True,0.47
2024-03-01,2024-03-01 12:20:18.089,card,ANON-0000-0000-0002,6.91,Hot Chocolate,CUST-0003,Miami,58,Male,True,1.26
2024-03-01,2024-03-01 13:46:33.006,card,ANON-0000-0000-0003,4.79,Americano,CUST-0004,Los Angeles,58,Female,True,0.18
2024-03-01,2024-03-01 13:48:14.626,card,ANON-0000-0000-0004,6.8,Latte,CUST-0005,Chicago,57,Male,False,1.33
2024-03-01,2024-03-01 15:39:47.726,card,ANON-0000-0000-0005,5.53,Americano with Milk,CUST-0006,Houston,56,Female,False,0.41
2024-03-01,2024-03-01 16:19:02.756,card,ANON-0000-0000-0006,6.19,Hot Chocolate,CUST-0007,Los Angeles,50,Male,False,0.94
2024-03-01,2024-03-01 18:39:03.580,card,ANON-0000-0000-0007,6.24,Americano with Milk,CUST-0008,Houston,50,Male,True,0.66
2024-03-01,2024-03-01 19:22:01.762,card,ANON-0000-0000-0008,7.71,Cocoa,CUST-0009,New York,53,Male,True,0.26
2024-03-01,2024-03-01 19:23:15.887,card,ANON-0000-0000-0008,6.12,Americano with Milk,CUST-0010,Los Angeles,49,Male,False,0.6
2024-03-01,2024-03-01 19:29:17.391,card,ANON-0000-0000-0009,6.39,Americano with Milk,CUST-0011,Los Angeles,47,Male,True,0.73
2024-03-02,2024-03-02 10:22:06.957,card,ANON-0000-0000-0010,3.59,Americano,CUST-0012,Miami,51,Male,True,0.7
2024-03-02,2024-03-02 10:30:35.668,cash,ANON-0000-0000-1001,3.46,Latte,CUST-0013,Houston,31,Female,True,0.37
2024-03-02,2024-03-02 10:41:41.249,card,ANON-0000-0000-0011,7.7,Americano with Milk,CUST-0014,Houston,62,Female,False,0.01
2024-03-02,2024-03-02 11:59:45.484,card,ANON-0000-0000-0012,3.34,Americano with Milk,CUST-0015,New York,62,Female,True,0.55
2024-03-02,2024-03-02 14:38:35.535,card,ANON-0000-0000-0013,5.79,Americano,CUST-0016,Houston,32,Female,True,0.76
2024-03-02,2024-03-02 16:37:24.475,card,ANON-0000-0000-0014,6.23,Americano with Milk,CUST-0017,Miami,42,Female,False,0.38
2024-03-02,2024-03-02 17:34:54.969,card,ANON-0000-0000-0004,9.06,Americano,CUST-0018,Los Angeles,35,Male,True,0.78
2024-03-03,2024-03-03 10:10:43.981,cash,ANON-0000-0000-1002,6.93,Latte,CUST-0019,Chicago,52,Male,True,0.76
2024-03-03,2024-03-03 10:27:18.561,card,ANON-0000-0000-0015,7.69,Latte,CUST-0020,Chicago,52,Female,False,0.32
2024-03-03,2024-03-03 11:33:56.118,card,ANON-0000-0000-0016,9.62,Cortado,CUST-0021,Los Angeles,34,Female,True,0.92
2024-03-03,2024-03-03 12:26:56.098,card,ANON-0000-0000-0012,8.29,Americano,CUST-0022,Los Angeles,55,Male,False,1.08
2024-03-03,2024-03-03 13:09:36.321,card,ANON-0000-0000-0017,5.73,Hot Chocolate,CUST-0023,New York,53,Female,False,0.85
2024-03-03,2024-03-03 17:06:40.271,card,ANON-0000-0000-0018,5.39,Cocoa,CUST-0024,Houston,52,Male,False,0.84
2024-03-03,2024-03-03 17:08:45.895,card,ANON-0000-0000-0019,9.1,Cortado,CUST-0025,New York,32,Male,True,1.37
2024-03-03,2024-03-03 18:03:23.369,card,ANON-0000-0000-0020,7.32,Americano with Milk,CUST-0026,New York,36,Female,True,1.33
2024-03-03,2024-03-03 18:04:27.946,card,ANON-0000-0000-0020,3.63,Americano with Milk,CUST-0027,Los Angeles,37,Female,True,0.61
2024-03-03,2024-03-03 18:08:04.959,card,ANON-0000-0000-0020,4.08,Hot Chocolate,CUST-0028,Miami,42,Male,True,0.25
2024-03-04,2024-03-04 10:03:51.994,card,ANON-0000-0000-0001,7.06,Latte,CUST-0029,Miami,55,Male,True,0.22
2024-03-04,2024-03-04 10:54:50.958,card,ANON-0000-0000-0021,7.71,Latte,CUST-0030,Los Angeles,44,Male,True,0.14
2024-03-04,2024-03-04 11:05:16.184,card,ANON-0000-0000-0012,7.99,Americano with Milk,CUST-0031,Chicago,37,Male,False,0.44
2024-03-04,2024-03-04 14:04:37.734,card,ANON-0000-0000-0022,9.26,Espresso,CUST-0032,Miami,53,Female,False,0.54
2024-03-05,2024-03-05 09:59:52.651,card,ANON-0000-0000-0001,9.44,Latte,CUST-0033,Los Angeles,63,Female,True,1.07
2024-03-05,2024-03-05 14:34:55.963,card,ANON-0000-0000-0023,4.53,Latte,CUST-0034,Miami,62,Male,False,0.66
2024-03-05,2024-03-05 17:34:06.043,card,ANON-0000-0000-0024,3.37,Latte,CUST-0035,Los Angeles,19,Female,False,0.2
2024-03-05,2024-03-05 17:35:25.021,card,ANON-0000-0000-0025,3.62,Hot Chocolate,CUST-0036,Miami,59,Male,False,0.07
2024-03-05,2024-03-05 17:36:28.571,card,ANON-0000-0000-0026,4.78,Cocoa,CUST-0037,Los Angeles,38,Male,False,0.42
2024-03-05,2024-03-05 17:37:13.659,card,ANON-0000-0000-0027,5.2,Hot Chocolate,CUST-0038,Chicago,56,Female,False,0.95
2024-03-05,2024-03-05 17:38:09.354,card,ANON-0000-0000-0009,4.52,Hot Chocolate,CUST-0039,Los Angeles,26,Male,True,0.58
2024-03-05,2024-03-05 17:56:15.776,card,ANON-0000-0000-0028,3.13,Cortado,CUST-0040,Chicago,36,Male,True,0.43
2024-03-05,2024-03-05 18:01:31.242,card,ANON-0000-0000-0028,7.23,Hot Chocolate,CUST-0041,Miami,60,Female,False,0.32
2024-03-06,2024-03-06 12:30:27.089,cash,ANON-0000-0000-1003,9.17,Americano with Milk,CUST-0042,Los Angeles,22,Male,False,0.76
2024-03-06,2024-03-06 13:24:07.667,card,ANON-0000-0000-0012,4.98,Americano,CUST-0043,Houston,20,Female,False,0.42
2024-03-06,2024-03-06 13:25:14.351,card,ANON-0000-0000-0012,9.01,Cortado,CUST-0044,Miami,51,Female,True,0.02
2024-03-06,2024-03-06 14:52:01.761,card,ANON-0000-0000-0029,7.03,Cappuccino,CUST-0045,Los Angeles,62,Female,False,1.33
2024-03-06,2024-03-06 14:53:18.344,card,ANON-0000-0000-0029,8.51,Cappuccino,CUST-0046,Los Angeles,32,Male,False,0.03
2024-03-07,2024-03-07 10:08:58.945,cash,ANON-0000-0000-1004,7.58,Latte,CUST-0047,Los Angeles,31,Male,True,0.08
2024-03-07,2024-03-07 10:18:40.543,card,ANON-0000-0000-0030,9.73,Hot Chocolate,CUST-0048,Miami,37,Male,False,1.4
2024-03-07,2024-03-07 11:03:58.976,card,ANON-0000-0000-0031,6.19,Latte,CUST-0049,Chicago,60,Male,False,0.78
2024-03-07,2024-03-07 11:25:43.977,cash,ANON-0000-0000-1005,3.21,Latte,CUST-0050,New York,31,Female,True,0.06
2024-03-07,2024-03-07 15:40:22.606,card,ANON-0000-0000-0032,8.51,Americano,CUST-0051,Miami,36,Female,True,0.09
2024-03-07,2024-03-07 15:41:28.784,card,ANON-0000-0000-0033,6.46,Americano with Milk,CUST-0052,Houston,37,Female,False,0.7
2024-03-08,2024-03-08 10:34:41.283,card,ANON-0000-0000-0012,6.37,Cortado,CUST-0053,Miami,34,Female,False,0.58
2024-03-08,2024-03-08 12:22:28.653,card,ANON-0000-0000-0034,6.2,Cappuccino,CUST-0054,Miami,23,Male,False,0.39
2024-03-08,2024-03-08 13:53:02.042,card,ANON-0000-0000-0035,6.61,Americano,CUST-0055,New York,25,Male,True,0.0
2024-03-08,2024-03-08 14:44:12.686,card,ANON-0000-0000-0012,5.75,Americano,CUST-0056,Chicago,48,Female,True,0.84
2024-03-08,2024-03-08 14:45:11.048,card,ANON-0000-0000-0033,6.89,Americano,CUST-0057,Miami,48,Female,False,0.06
2024-03-08,2024-03-08 14:46:11.155,card,ANON-0000-0000-0012,5.51,Americano with Milk,CUST-0058,Miami,26,Female,False,0.03
2024-03-08,2024-03-08 18:57:51.451,card,ANON-0000-0000-0036,5.48,Latte,CUST-0059,Houston,52,Female,True,0.84
2024-03-08,2024-03-08 18:59:24.941,card,ANON-0000-0000-0037,9.51,Latte,CUST-0060,Los Angeles,41,Female,False,1.3
2024-03-09,2024-03-09 11:49:37.292,cash,ANON-0000-0000-1006,4.62,Hot Chocolate,CUST-0061,Chicago,59,Male,True,0.16
2024-03-09,2024-03-09 12:05:15.559,card,ANON-0000-0000-0038,3.5,Espresso,CUST-0062,New York,48,Female,True,0.54
2024-03-09,2024-03-09 12:07:38.275,card,ANON-0000-0000-0039,9.65,Americano,CUST-0063,Chicago,44,Female,True,0.95
2024-03-09,2024-03-09 12:09:47.714,card,ANON-0000-0000-0012,8.91,Cappuccino,CUST-0064,New York,27,Male,False,1.64
2024-03-09,2024-03-09 12:13:03.521,card,ANON-0000-0000-0040,7.61,Americano,CUST-0065,Houston,37,Male,True,0.04
2024-03-09,2024-03-09 12:14:26.458,card,ANON-0000-0000-0040,8.96,Americano,CUST-0066,New York,38,Male,True,0.54
2024-03-09,2024-03-09 13:09:22.229,card,ANON-0000-0000-0041,9.01,Latte,CUST-0067,Houston,35,Female,True,1.39
2024-03-09,2024-03-09 13:41:06.167,card,ANON-0000-0000-0042,5.39,Americano with Milk,CUST-0068,Houston,29,Male,True,0.13
2024-03-09,2024-03-09 13:53:10.408,card,ANON-0000-0000-0043,6.74,Cortado,CUST-0069,Houston,48,Male,True,0.88
2024-03-09,2024-03-09 13:54:36.828,card,ANON-0000-0000-0043,9.57,Cappuccino,CUST-0070,Chicago,48,Female,True,0.96
2024-03-09,2024-03-09 14:08:01.829,card,ANON-0000-0000-0009,4.56,Americano with Milk,CUST-0071,Chicago,41,Male,True,0.24
2024-03-09,2024-03-09 14:26:52.873,card,ANON-0000-0000-0044,4.67,Hot Chocolate,CUST-0072,Los Angeles,18,Female,False,0.5
2024-03-09,2024-03-09 19:17:57.572,card,ANON-0000-0000-0009,4.49,Cappuccino,CUST-0073,Miami,38,Female,False,0.28
2024-03-09,2024-03-09 19:19:10.084,card,ANON-0000-0000-0009,6.9,Hot Chocolate,CUST-0074,New York,42,Female,True,1.3
2024-03-10,2024-03-10 07:44:18.538,cash,ANON-0000-0000-1007,3.41,Americano,CUST-0075,Los Angeles,33,Male,False,0.1
2024-03-10,2024-03-10 07:45:29.441,cash,ANON-0000-0000-1008,9.13,Americano with Milk,CUST-0076,Houston,45,Male,True,0.3
2024-03-10,2024-03-10 10:06:02.960,cash,ANON-0000-0000-1009,8.04,Latte,CUST-0077,Chicago,19,Female,True,0.13
2024-03-10,2024-03-10 11:19:20.764,card,ANON-0000-0000-0045,7.37,Espresso,CUST-0078,New York,60,Female,False,1.18
2024-03-10,2024-03-10 17:51:03.048,cash,ANON-0000-0000-1010,6.78,Americano with Milk,CUST-0079,Chicago,39,Female,True,0.16
2024-03-10,2024-03-10 19:34:00.478,card,ANON-0000-0000-0046,7.95,Latte,CUST-0080,Los Angeles,38,Male,False,0.14
2024-03-10,2024-03-10 19:35:54.712,card,ANON-0000-0000-0046,5.95,Cortado,CUST-0081,New York,20,Female,True,1.09
2024-03-11,2024-03-11 10:18:46.724,cash,ANON-0000-0000-1011,7.89,Latte,CUST-0082,New York,18,Female,True,0.98
2024-03-11,2024-03-11 11:24:15.022,cash,ANON-0000-0000-1012,3.68,Cappuccino,CUST-0083,Houston,31,Male,False,0.45
2024-03-11,2024-03-11 11:24:51.565,cash,ANON-0000-0000-1013,8.17,Cortado,CUST-0084,Los Angeles,53,Male,True,0.61
2024-03-11,2024-03-11 11:26:44.221,cash,ANON-0000-0000-1014,3.17,Americano,CUST-0085,Houston,48,Female,False,0.38
2024-03-11,2024-03-11 11:32:58.781,card,ANON-0000-0000-0035,8.29,Cappuccino,CUST-0086,Miami,64,Female,True,1.26
